City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Islahiye,TR,2022-01-24 00:29:14,37.025,36.6306,33.58,98,93,3.2
268,Anadyr,RU,2022-01-24 00:29:14,64.75,177.4833,-14.01,75,20,6.71
269,Churapcha,RU,2022-01-24 00:29:14,62.0025,132.4325,-35.01,100,98,0.98
270,Moissala,TD,2022-01-24 00:29:15,8.3404,17.7663,72.07,22,6,5.21
271,Sivas,TR,2022-01-24 00:29:15,39.7916,37.0019,12.83,92,75,13.8
272,Ostashkov,RU,2022-01-24 00:29:15,57.1467,33.1075,-0.38,100,99,4.36
273,Sola,VU,2022-01-24 00:30:16,-13.8833,167.55,86.67,74,75,9.22
274,Sibolga,ID,2022-01-24 00:30:16,1.7427,98.7792,77.04,85,95,1.97
275,Jieshi,CN,2022-01-24 00:30:17,22.8134,115.8257,65.95,86,100,4.7
276,Paita,PE,2022-01-24 00:30:17,-5.0892,-81.1144,71.82,80,40,15.48
277,Kieta,PG,2022-01-24 00:30:17,-6.2167,155.6333,87.04,65,100,7.65
278,Agua Verde,MX,2022-01-24 00:30:18,22.9,-106.05,75.29,71,100,12.35
279,Leshukonskoye,RU,2022-01-24 00:30:18,64.8989,45.7622,13.82,91,100,10.0
280,Los Llanos De Aridane,ES,2022-01-24 00:30:18,28.6585,-17.9182,60.55,88,20,5.01
281,Sayat,TM,2022-01-24 00:30:19,38.7839,63.8803,31.87,65,0,9.15
282,Touros,BR,2022-01-24 00:30:19,-5.1989,-35.4608,81.5,74,10,10.83
283,Kharitonovo,RU,2022-01-24 00:30:19,61.4009,47.4978,8.29,95,79,7.63
284,Methoni,GR,2022-01-24 00:30:20,36.8197,21.7049,41.22,69,91,6.06
285,Troyes,FR,2022-01-24 00:30:20,48.3333,4.0833,32.77,93,0,0.0
286,Tiksi,RU,2022-01-24 00:30:20,71.6872,128.8694,-6.81,99,99,2.55
287,Henties Bay,NA,2022-01-24 00:30:21,-22.116,14.2845,75.65,71,87,11.23
288,Sept-Iles,CA,2022-01-24 00:30:21,50.2001,-66.3821,7.32,86,75,0.0
289,Bahia Honda,CU,2022-01-24 00:30:22,22.9036,-83.1592,67.17,73,1,11.34
290,Nizwa,OM,2022-01-24 00:30:22,22.9333,57.5333,57.52,56,0,2.51
291,Lufilufi,WS,2022-01-24 00:30:22,-13.8745,-171.5986,89.38,73,100,4.99
